item_id,slot,type,colour,style,image_path,minimum_temperature,maximum_temperature,weather_tags,section,source_term,source_url,price,currency,image_id,source_scraped_at
288451521-800-1,inner_top,Pointelle Knit Cardigan,Black,Casual;Minimalist,data/zara_products/images/a91055cf-a476-4ad1-8b9d-e04f1a77fd87.jpg,-5,32,,WOMAN,cardigans,https://www.zara.com/us/en/pointelle-knit-cardigan-p04331133.html,22.99,USD,a91055cf-a476-4ad1-8b9d-e04f1a77fd87,2024-02-19T09:09:47.393659
311292293-409-2,inner_top,Velvet Kimono Shirt Limited Edition,Blue,Party;Formal,data/zara_products/images/b0b4de8d-096f-4a58-afc8-3773ace0e3a6.jpg,-5,32,,MAN,blazers,https://www.zara.com/us/en/velvet-kimono-shirt-limited-edition-p04078006.html,129.0,USD,b0b4de8d-096f-4a58-afc8-3773ace0e3a6,2024-02-19T08:58:36.719519
320071218-250-1,inner_top,Long Belted Gabardine Shirt,White,Casual;Formal,data/zara_products/images/9840cc02-2886-4fd6-b9df-b776e481f3fb.jpg,-10,15,cold,WOMAN,coats,https://www.zara.com/us/en/long-belted-gabardine-shirt-p01957006.html,49.9,USD,9840cc02-2886-4fd6-b9df-b776e481f3fb,2024-02-19T09:25:02.827504
311282208-802-2,inner_top,Short Sleeve Open-Knit Cardigan,Grey,Casual;Streetwear,data/zara_products/images/2743a1ed-851e-4cbc-873b-7d1ce6037ad6.jpg,-5,32,,MAN,cardigans,https://www.zara.com/us/en/short-sleeve-open-knit-cardigan-p00977400.html,39.9,USD,2743a1ed-851e-4cbc-873b-7d1ce6037ad6,2024-02-19T08:55:30.367435
318594114-807-2,inner_top,Jewel Front T-Shirt,Black,Party;Casual,data/zara_products/images/c5fa3034-f2ae-4553-b918-a463bb196cba.jpg,-5,32,,WOMAN,dresses,https://www.zara.com/us/en/jewel-front-t-shirt-p01165166.html,29.9,USD,c5fa3034-f2ae-4553-b918-a463bb196cba,2024-02-19T09:06:48.319825
278112489-712-2,inner_top,Cotton Hoodie Sweatshirt,Beige,Casual;Minimalist,data/zara_products/images/5d80ebe9-08f1-430b-97eb-81af71b4177d.jpg,-5,32,,MAN,hoodies,https://www.zara.com/us/en/cotton-hoodie-sweatshirt-p00761331.html,12.99,USD,5d80ebe9-08f1-430b-97eb-81af71b4177d,2024-02-19T08:55:42.201400
277089946-808-2,inner_top,Metallic Mesh Knit Bomber Cardigan,Beige,Casual;Minimalist,data/zara_products/images/dcd562cb-ab44-4623-b078-3ae5de5a2ebc.jpg,-5,32,,WOMAN,jackets,https://www.zara.com/us/en/metallic-mesh-knit-bomber-cardigan-p08146014.html,7.99,USD,dcd562cb-ab44-4623-b078-3ae5de5a2ebc,2024-02-19T09:04:36.256678
317019373-200-3,inner_top,Combination Knit Denim Cardigan,Blue,Casual;Streetwear,data/zara_products/images/c59a0fbc-ada7-4e39-802c-15ea41afc3f5.jpg,-5,32,,MAN,jackets,https://www.zara.com/us/en/combination-knit-denim-cardigan-p09598426.html,79.9,USD,c59a0fbc-ada7-4e39-802c-15ea41afc3f5,2024-02-19T08:50:53.551441
280469300-808-2,inner_top,Metallic Cable Knit Vest,Grey,Casual;Minimalist,data/zara_products/images/28fb5934-9989-4b48-98d5-bbddad2bcb77.jpg,-5,32,,WOMAN,knitwear,https://www.zara.com/us/en/metallic-cable-knit-vest-p03859108.html,7.99,USD,28fb5934-9989-4b48-98d5-bbddad2bcb77,2024-02-19T09:24:03.414364
275578235-427-2,inner_top,Denim Shirt,Blue,Casual;Streetwear,data/zara_products/images/cdbd0200-9965-4a29-acf8-a7ff6924363c.jpg,-5,32,,MAN,jeans,https://www.zara.com/us/en/denim-shirt-p06987350.html,12.99,USD,cdbd0200-9965-4a29-acf8-a7ff6924363c,2024-02-19T08:54:21.469926
278107867-250-1,outer_top,Linen Blend Cropped Blazer,White,Minimalist;Formal,data/zara_products/images/4061f02b-64eb-463d-b5a9-6a2c8d8d45b4.jpg,18,40,warm,WOMAN,blazers,https://www.zara.com/us/en/linen-blend-cropped-blazer-p08202708.html,12.99,USD,4061f02b-64eb-463d-b5a9-6a2c8d8d45b4,2024-02-19T09:03:25.346929
311309668-801-48,outer_top,Pinstripe Blazer,Black,Formal;Casual,data/zara_products/images/532701a2-e831-47d8-be72-cab049ed1231.jpg,-10,15,cold,MAN,blazers,https://www.zara.com/us/en/pinstripe-blazer-p04105149.html,229.0,USD,532701a2-e831-47d8-be72-cab049ed1231,2024-02-19T08:58:35.763675
